draws,lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a,bFT,bMVP,bWP,bER,sigma
55,129.71599605469166,0.9844018875259406,0.5550471485189914,3.0,7.0,0.0,-124.67120304087027,0.2674651905313946,0.07733911245622992,0.07635000996771105,0.16698470592293937,0.06418019209628306,0.21210910593141938
56,126.3325392248524,1.0,0.5593889784633831,3.0,7.0,0.0,-125.71048141363117,0.2977733460457958,0.07709201428124665,0.02941131931095284,0.1784110338315253,0.1292247909519654,0.21528497146922526
57,130.01703464714726,0.7678795034882003,0.4880592379583002,3.0,7.0,0.0,-128.17606540660526,0.26994706461163703,0.1075177471962361,0.023806834831374843,0.20833731168070396,0.0501136712799138,0.20070814435859627
58,131.7062996418665,0.9670058556196585,0.5356568055523541,2.0,3.0,0.0,-129.5115771273159,0.269372137491319,0.06318453906589028,0.04003794558438471,0.18508587545282484,0.07988191399356137,0.19063237064197433
59,129.8835667121279,0.9874116216615473,0.5550471485189914,3.0,7.0,0.0,-127.14497217016246,0.29442829040358587,0.08979898097048084,0.017282332533758618,0.1731585204692579,0.08190278335966589,0.18602083064815259
60,130.95148004689938,0.9956709973501182,0.5593889784633831,3.0,7.0,0.0,-124.64774078655769,0.2736292178458575,0.08987947485965417,0.04179990762937418,0.23064162277370298,0.03522462747912604,0.19431957512615294
61,128.49648603129287,0.959217615110016,0.4880592379583002,3.0,7.0,0.0,-126.49310334646992,0.28109127319882676,0.04481385273160006,0.07469380296509102,0.20330883875033726,0.07504446831067094,0.18655902502162536
62,131.06543670886367,0.8504757372931858,0.5356568055523541,3.0,7.0,0.0,-128.63709745866217,0.28749101015542594,0.09368608312996093,0.050890101803725385,0.2019515434557893,0.03766651294374137,0.206061395607414
63,128.48420184564637,0.9274556312868354,0.5550471485189914,2.0,3.0,0.0,-127.50328619269581,0.2970087516677958,0.07508370509085237,0.018758988760545495,0.1662453200143864,0.09272973732810509,0.18108208639203588
64,132.29946628295767,0.9853912563145982,0.5593889784633831,2.0,3.0,0.0,-130.4992683858154,0.27259048836605054,0.062103689640128676,0.04383713969473618,0.20054431668791384,0.05013698219249016,0.2035208201246888
65,126.09014404199736,0.8690323236156651,0.4880592379583002,3.0,7.0,0.0,-121.3626493120965,0.28130910249421776,0.10668654917018308,0.007105342840529722,0.24717054913058106,0.05371214161097923,0.19630579413588775
